fiscal_year,invoice_date,invoice_number,invoice_amount,payee,payment_date,payment_number,agency,expenditure_type,expenditure_category,spend_category,cost_center,project,program,grant_,fund,financing_source,region,extended_amount,ObjectId
2022,4/26/2022,2482524,1489.93,MUNSON BUSINESS INTERIORS INC,7/27/2022,1220077,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Furniture and Office Equipment,,,,,General Fund,,,1489.93,1608
2022,6/15/2022,2475407,461.35,BEST STAMP & SEAL CO INC,7/27/2022,1219871,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,428.85,1614
2022,6/15/2022,2475407,461.35,BEST STAMP & SEAL CO INC,7/27/2022,1219871,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,32.5,1618
2022,6/15/2022,2475417,276.81,BEST STAMP & SEAL CO INC,7/27/2022,1219871,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,257.31,1624
2022,6/15/2022,2475417,276.81,BEST STAMP & SEAL CO INC,7/27/2022,1219871,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,19.5,1625
2022,6/23/2022,2480709,2564.22,DELL MARKETING LP,7/27/2022,1219974,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,2564.22,1626
2022,6/21/2022,2480180,1438.42,DELL MARKETING LP,7/27/2022,1219974,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,1438.42,1627
2022,6/14/2022,2480703,81,FARLEY PRINTING COMPANY INC,7/27/2022,1219875,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,70,1628
2022,6/14/2022,2480703,81,FARLEY PRINTING COMPANY INC,7/27/2022,1219875,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,11,1629
2022,6/6/2022,2482440,96.4,OFFICE DEPOT INC,7/27/2022,1220098,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,96.4,1630
2022,4/11/2022,2480242,7948.8,GRAINGER INDUSTRIAL SUPPLY,7/27/2022,1219998,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,6771.2,1631
2022,4/11/2022,2480242,7948.8,GRAINGER INDUSTRIAL SUPPLY,7/27/2022,1219998,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,1177.6,1632
2022,6/24/2022,2484419,9.25,TYLER MOUNTAIN WATER CO INC,7/27/2022,1220135,Louisville Metro Police Department,Metro Government Operations,Supplies,Public & Community Relations Supplies                          ,,,,,General Fund,,,1.1,1633
2022,6/24/2022,2484419,9.25,TYLER MOUNTAIN WATER CO INC,7/27/2022,1220135,Louisville Metro Police Department,Metro Government Operations,Supplies,Public & Community Relations Supplies                          ,,,,,General Fund,,,8.15,1634
2022,6/20/2022,2480176,50,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,50,1635
2022,7/1/2022,2484441,75,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,75,1636
2022,7/1/2022,2484443,108.75,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,108.75,1637
2022,7/1/2022,2484445,58,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,58,1638
2022,7/1/2022,2484447,300,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,300,1639
2022,7/1/2022,2484448,144,HIGHWAY SAFETY SERVICES,7/27/2022,1220005,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,144,1640
2022,5/5/2022,2480177,748.4,SCHELLERS KENTUCKY LLC,7/27/2022,1220114,Louisville Metro Police Department,Metro Government Operations,Supplies,Tools/Implements,,,,,General Fund,,,741.2,1641
2022,5/5/2022,2480177,748.4,SCHELLERS KENTUCKY LLC,7/27/2022,1220114,Louisville Metro Police Department,Metro Government Operations,Supplies,Tools/Implements,,,,,General Fund,,,7.2,1642
2022,6/8/2022,2481824,785,GINGER B CRUMBO PSYD PLLC,7/27/2022,1219995,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,785,1643
2022,5/24/2022,2468149,54.72,SPECIFIC WASTE INDUSTRIES LLC,7/27/2022,1219887,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,54.72,1644
2022,6/12/2022,2483971,1083.39,VERIZON WIRELESS,7/27/2022,1220170,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,1083.39,1645
2022,6/17/2022,2482521,4808.4,CENTRALSQUARE TECHNOLOGIES LLC,7/27/2022,1219955,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Rental,,,,,General Fund,,,4808.4,1646
2022,6/24/2022,2482539,15410,MOTOROLA SOLUTIONS INC,7/27/2022,1220075,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Radio/Communications Equipment,,,,,General Fund,,,15410,1647
2022,6/30/2022,2484449,4235.83,MOTOROLA SOLUTIONS INC,7/27/2022,1220075,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Radio/Communications Equipment,,,,,General Fund,,,4235.83,1648
2022,6/24/2022,2480261,2498.64,BOUND TREE MEDICAL LLC,7/27/2022,1219937,Louisville Metro Police Department,Metro Government Operations,Supplies,First Aid Supplies,,,,,General Fund,,,2148.64,1649
2022,6/24/2022,2480261,2498.64,BOUND TREE MEDICAL LLC,7/27/2022,1219937,Louisville Metro Police Department,Metro Government Operations,Supplies,First Aid Supplies,,,,,General Fund,,,350,1650
2022,6/20/2022,2480254,6117.36,BOUND TREE MEDICAL LLC,7/27/2022,1219937,Louisville Metro Police Department,Metro Government Operations,Supplies,First Aid Supplies,,,,,General Fund,,,6117.36,1651
2022,6/1/2022,2475076,16464,GALLS PARENT HOLDINGS LLC,7/27/2022,1219876,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,784,1652
2022,6/1/2022,2475076,16464,GALLS PARENT HOLDINGS LLC,7/27/2022,1219876,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,15680,1653
2022,6/16/2022,2483968,3910,SUBURBAN TOWING INC,7/27/2022,1220121,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Automotive Wrecker Services                           ,,,,,General Fund,,,3910,1654
2022,6/3/2022,2480707,4137,SUBURBAN TOWING INC,7/27/2022,1220121,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Automotive Wrecker Services                           ,,,,,General Fund,,,4137,1655
2022,6/30/2022,2482430,247.26,UNIFIRST CORPORATION,7/27/2022,1220139,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,247.26,1656
2022,6/16/2022,2480705,268.51,UNIFIRST CORPORATION,7/27/2022,1220139,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,268.51,1657
2022,6/9/2022,2480706,246.26,UNIFIRST CORPORATION,7/27/2022,1220139,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,246.26,1658
2022,1/17/2022,2486689,2049,LOUISVILLE GAS & ELECTRIC COMPANY,7/28/2022,1220510,Louisville Metro Police Department,Metro Government Operations,Supplies,Educational/Training Supplies,,,,,General Fund,,,2049,1922
2022,7/22/2022,2485774,3028.43,DATA LINK COMMUNICATIONS OF INDIANA INC,8/1/2022,1220708,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,ARP,,,3028.43,1951
2022,6/28/2022,2481961,16.25,BEST STAMP & SEAL CO INC,8/1/2022,1220560,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,15.12,1953
2022,6/7/2022,2475031,1197.52,DELL MARKETING LP,7/27/2022,1219974,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Law Enforcement Equipment,,,,,General Fund,,,1197.52,2409
2022,6/7/2022,2467986,41745.3,KIESLER POLICE SUPPLY INC,7/27/2022,1219881,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,41745.3,2414
2022,2/7/2022,2410234,75.6,GALLS PARENT HOLDINGS LLC,7/27/2022,1219876,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,75.6,2416
2022,6/3/2022,2475080,5594.4,GRAINGER INDUSTRIAL SUPPLY,7/27/2022,1219998,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Maintenance/Repair Services                          ,,,,,General Fund,,,5594.4,2466
2022,6/20/2022,2482523,275.1,SAPPHIRE HOSPITALITY LLC,7/27/2022,1220113,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Grant Other Assistance                            ,,,,,Federally Funded,,,275.1,2467
2022,6/27/2022,2474076,3178.28,JDS SECURITY LLC,7/27/2022,1220022,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,ARP,,,3178.28,2468
2022,6/29/2022,2475042,4631,DELL MARKETING LP,7/27/2022,1219974,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Equipment                            ,,,,,ARP,,,4631,2469
2022,6/13/2022,2481457,73533.6,INSIGHT PUBLIC SECTOR,7/27/2022,1220012,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Licenses,,,,,ARP,,,73533.6,2470
2022,6/22/2022,2480870,795073.47,CDW LLC,7/27/2022,1219954,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Data Processing Equipment,,,,,ARP,,,795073.47,2471
2022,7/18/2022,2484265,297083.3,CDW LLC,7/27/2022,1219954,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Data Processing Equipment,,,,,ARP,,,297083.3,2472
2022,6/2/2022,2473589,20164,DELL MARKETING LP,7/27/2022,1219974,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Data Processing Equipment,,,,,ARP,,,20164,2473
2022,6/21/2022,2480389,1263719.08,INSIGHT PUBLIC SECTOR,7/27/2022,1220012,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Data Processing Equipment,,,,,ARP,,,1263719.08,2474
2022,6/6/2022,2482536,260,MURPHYS CAMERA,7/27/2022,1220078,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Maintenance/Repair Services                          ,,,,,General Fund,,,260,2475
2022,5/24/2022,2468149,54.72,SPECIFIC WASTE INDUSTRIES LLC,7/27/2022,1219887,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,-54.72,2476
2022,5/24/2022,2468149,54.72,SPECIFIC WASTE INDUSTRIES LLC,7/27/2022,1219887,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,54.72,2477
2022,6/15/2022,2482540,1520.53,FEDEX,7/27/2022,1219987,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Mail & Shipping                             ,,,,,General Fund,,,1520.53,2478
2022,6/30/2022,2480642,4218,UNIVERSITY MEDICAL CENTER INC,7/27/2022,1220144,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,4218,2479
2022,6/30/2022,2481663,6666.63,UNIVERSITY MEDICAL CENTER INC,7/27/2022,1220144,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,6666.63,2480
2022,1/17/2022,2466028,67.03,KIESLER POLICE SUPPLY INC,7/27/2022,1219881,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,67.03,2481
2022,6/6/2022,2481821,2614.53,KIESLER POLICE SUPPLY INC,7/27/2022,1219881,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,2614.53,2482
2022,4/6/2022,2483001,1035.24,KIESLER POLICE SUPPLY INC,7/27/2022,1219881,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,1035.24,2483
2022,6/28/2022,2483936,1073.52,LOUISVILLE LABEL INC,7/27/2022,1220059,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,1073.52,2484
2022,6/27/2022,2482525,1106.04,JOHN F TROMPETER CO,7/27/2022,1220025,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,1106.04,2485
2022,5/26/2022,2475048,177.87,OFFICE DEPOT INC,7/27/2022,1220098,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,68.27,2486
2022,5/26/2022,2475048,177.87,OFFICE DEPOT INC,7/27/2022,1220098,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,109.6,2487
2022,7/1/2022,2485103,907.01,THOMSON REUTERS SCIENTIFIC INC,7/27/2022,1220127,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Contractual Non Professional Service Agreements                         ,,,,,General Fund,,,907.01,2488
2022,6/22/2022,2485127,140.94,FEEDERS SUPPLY,7/27/2022,1219988,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,140.94,2489
2022,6/21/2022,2480270,11563.79,THOROUGHBRED AVIATION MAINTENANCE,7/27/2022,1220128,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Helicopter Maintenance/Repair Services                          ,,,,,General Fund,,,11536.79,2490
2022,6/21/2022,2480270,11563.79,THOROUGHBRED AVIATION MAINTENANCE,7/27/2022,1220128,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Helicopter Maintenance/Repair Services                          ,,,,,General Fund,,,27,2491
2022,12/2/2021,2482466,1308.69,JEFFERSON VETERINARY MANAGEMENT GROUP INC,7/27/2022,1220023,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,1308.69,2492
2022,4/5/2022,2485871,195,PB ELECTRONICS INC,7/27/2022,1220104,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,195,2611
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,74.23,2681
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,709.52,2685
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,143.45,2691
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,75.18,2697
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,684.4,2702
2022,6/14/2022,2480765,28759.5,CITRIX SYSTEMS INC,7/25/2022,1219587,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Rental,,,,,General Fund,,,28759.5,2711
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,396.29,2717
2022,6/29/2022,2475187,1190,T-MOBILE USA INC,7/25/2022,1219730,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,1190,2723
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,142.27,2728
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,1227.76,2732
2022,6/30/2022,2479453,4157.01,TXI SYSTEMS INC,7/25/2022,1219744,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Mail & Shipping                             ,,,,,General Fund,,,4157.01,2738
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,93.91,3223
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,200.86,3250
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,50.83,3251
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,1128.02,3252
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,625.6,3253
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,177.84,3254
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,1121.94,3255
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,182.09,3271
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,228.75,3327
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,160.51,3332
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,76.21,3337
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,98.1,3343
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,542.93,3350
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,789.44,3353
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,96.67,3356
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,548.41,3359
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,438.15,3365
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,611.68,3369
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,227.87,3372
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,312.74,3378
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,427.18,3384
2022,6/30/2022,2483294,11981.92,CINCINNATI COPIERS INC,7/25/2022,1219585,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,389.09,3392
2022,5/31/2022,2473920,347.48,AT&T SERVICES INC,7/18/2022,1218870,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,-289.57,4478
2022,5/31/2022,2473920,347.48,AT&T SERVICES INC,7/18/2022,1218870,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,289.57,4484
2022,3/15/2022,2481470,12978,INTERNATIONAL BUSINESS INFORMATION TECHNOLOGIES,7/18/2022,1218926,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Rental,,,,,General Fund,,,12978,4491
2022,6/16/2022,2481541,57.7,KROGER CO,7/18/2022,1218937,Louisville Metro Police Department,Metro Government Operations,Supplies,Public & Community Relations Supplies                          ,,,,,General Fund,,,57.7,4493
2022,4/27/2022,2481630,145.56,GALLS PARENT HOLDINGS LLC,7/18/2022,1218801,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,1.56,4842
2022,4/27/2022,2481630,145.56,GALLS PARENT HOLDINGS LLC,7/18/2022,1218801,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,144,4843
2022,6/29/2022,2480899,3428.86,ASSET AND SECURITY SERVICES LLC,7/18/2022,1218867,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,3428.86,4844
2022,6/8/2022,2475094,25,ROCKY MOUNTAIN LOGISTICS INC,7/14/2022,1218365,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,25,5145
2022,6/21/2022,2480708,90,ROCKY MOUNTAIN LOGISTICS INC,7/14/2022,1218365,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,90,5149
2022,5/31/2022,2475081,1257.75,VOIANCE LANGUAGE SERVICES LLC,7/14/2022,1218385,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Language Services,,,,,General Fund,,,1257.75,5153
2022,12/12/2021,2480586,1082.19,VERIZON WIRELESS,7/14/2022,1218384,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,1082.19,5157
2022,6/24/2022,2480384,7924.24,MOTOROLA SOLUTIONS INC,7/14/2022,1218361,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Radio/Communications Equipment,,,,,General Fund,,,7924.24,5158
2022,5/31/2022,2479459,5474.85,TXI SYSTEMS INC,7/14/2022,1218381,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Mail & Shipping                             ,,,,,General Fund,,,5474.85,5159
